[Disease]
OMIM:101000	NF2
HP:0009734	0.015	   
HP:0002857	0.015	   
HP:0002410	0.015	   
HP:0002666	0.01	   
HP:0002858	0.01	   
HP:0000501	0.007	   
[Disease]
OMIM:175700	GLI3
HP:0001162	0.78	   
HP:0000348	0.7	   
HP:0000256	0.52	   
HP:0000316	0.25	   
HP:0001256	0.075	   
HP:0001537	0.075	   
HP:0000494	0.075	   
HP:0001274	0.075	   
HP:0004303	0.075	   
HP:0005616	0.075	   
HP:0001830	0.075	   
HP:0001007	0.075	   
HP:0000238	0.075	   
HP:0000023	0.075	   
HP:0001250	0.075	   
HP:0001363	0.075	   
HP:0000047	0.075	   
HP:0000028	0.075	   
[Disease]
OMIM:176450	MNX1
HP:0009790	0.75	   
HP:0007293	0.4975	   
HP:0000143	0.33	   
HP:0009793	0.33	   
HP:0000010	0.33	   
HP:0009791	0.22	   
HP:0004796	0.1609	   
HP:0002144	0.1414	   
HP:0001287	0.1121	   
HP:0009789	0.1121	   
HP:0000076	0.075	   
HP:0000813	0.075	   
[Disease]
OMIM:180849	CREBBP
HP:0001249	1.0	   
HP:0000444	0.9	   
HP:0000494	0.88	   
HP:0000527	0.87	   
HP:0002317	0.85	   
HP:0000377	0.84	   
HP:0000028	0.78	   
HP:0000574	0.76	   
HP:0001007	0.75	   
HP:0002750	0.74	   
HP:0001763	0.72	   
HP:0004411	0.71	   
HP:0000486	0.69	   
HP:0002353	0.57	   
HP:0000286	0.55	   
HP:0003298	0.47	   
HP:0000579	0.43	   
HP:0002650	0.42	   
HP:0002162	0.42	   
HP:0000260	0.41	   
HP:0000252	0.35	   
HP:0001631	0.33	   
HP:0001629	0.33	   
HP:0001643	0.33	   
HP:0008107	0.33	   
HP:0001135	0.31	   
HP:0005306	0.25	   
HP:0000294	0.24	   
HP:0000270	0.24	   
HP:0001250	0.23	   
HP:0000663	0.22	   
HP:0002236	0.2	   
HP:0000954	0.075	   
HP:0002700	0.075	   
HP:0000508	0.075	   
HP:0000049	0.075	   
HP:0000047	0.075	   
HP:0000501	0.075	   
HP:0002697	0.075	   
HP:0002999	0.075	   
HP:0000518	0.075	   
[Disease]
OMIM:182212	SKI
HP:0001166	0.9189	   
HP:0000368	0.8648	   
HP:0000494	0.8378	   
HP:0000156	0.8108	   
HP:0000268	0.7567	   
HP:0000316	0.7567	   
