DatabaseID	HPO_ID
OMIM:182960	HP:0003484
OMIM:616738	HP:0001873
OMIM:616738	HP:0010557
OMIM:616738	HP:0002974
OMIM:616738	HP:0001903
OMIM:616738	HP:0000034
OMIM:616738	HP:0001875
OMIM:616738	HP:0001433
OMIM:616517	HP:0011516
OMIM:616517	HP:0000603
OMIM:616517	HP:0000639
OMIM:616517	HP:0007750
OMIM:616517	HP:0007663
OMIM:616517	HP:0000007
OMIM:616517	HP:0007401
OMIM:616517	HP:0000613
OMIM:612359	HP:0000006
OMIM:612359	HP:0002895
OMIM:612359	HP:0012114
OMIM:612359	HP:0003002
OMIM:612359	HP:0000131
OMIM:612310	HP:0008209
OMIM:612310	HP:0001470
OMIM:616763	HP:0001263
OMIM:616763	HP:0007204
OMIM:616763	HP:0000639
OMIM:616763	HP:0001290
OMIM:616763	HP:0001250
OMIM:616763	HP:0000007
OMIM:616763	HP:0000252
OMIM:616763	HP:0001332
OMIM:164100	HP:0000486
OMIM:164100	HP:0000505
OMIM:164100	HP:0000666
OMIM:616697	HP:0000006
OMIM:616697	HP:0000407
OMIM:618806	HP:0000006
OMIM:618806	HP:0031545
OMIM:618806	HP:0005403
OMIM:618806	HP:0002788
OMIM:618806	HP:0002090
OMIM:618806	HP:0008404
OMIM:618806	HP:0001047
OMIM:617180	HP:0000006
OMIM:617180	HP:0001156
OMIM:617180	HP:0002780
OMIM:617180	HP:0000767
OMIM:617180	HP:0001561
OMIM:617180	HP:0002098
OMIM:617180	HP:0001822
OMIM:617180	HP:0000750
OMIM:617180	HP:0004322
OMIM:609404	HP:0100602
OMIM:609404	HP:0010982
OMIM:618660	HP:0000007
OMIM:618660	HP:0000518
OMIM:618660	HP:0004814
OMIM:618660	HP:0002904
OMIM:147060	HP:0000006
OMIM:147060	HP:0001363
OMIM:147060	HP:0001880
OMIM:147060	HP:0001382
OMIM:147060	HP:0006335
OMIM:147060	HP:0002726
OMIM:147060	HP:0002650
OMIM:147060	HP:0006532
